state_code,level_name,statename,date,value,variable,graph_title
23,state,Madhya Pradesh,2006-03-01,51.40,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
24,state,Gujarat,2006-03-01,57.20,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
27,state,Maharashtra,2006-03-01,50.90,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
28,state,Andhra Pradesh,2006-03-01,75.30,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
29,state,Karnataka,2006-03-01,65.70,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
30,state,Goa,2006-03-01,38.90,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
32,state,Kerala,2006-03-01,65.70,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
33,state,Tamil Nadu,2006-03-01,65.50,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
1,state,Jammu & Kashmir,2006-03-01,64.00,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
2,state,Himachal Pradesh,2006-03-01,28.30,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
3,state,Punjab,2006-03-01,51.30,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
5,state,Uttarakhand,2006-03-01,49.80,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
6,state,Haryana,2006-03-01,46.10,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
7,state,NCT of Delhi,2006-03-01,32.30,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
8,state,Rajasthan,2006-03-01,57.60,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
9,state,Uttar Pradesh,2006-03-01,47.00,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
10,state,Bihar,2006-03-01,56.90,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
11,state,Sikkim,2006-03-01,75.70,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
12,state,Arunachal Pradesh,2006-03-01,71.70,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
13,state,Nagaland,2006-03-01,78.90,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
14,state,Manipur,2006-03-01,89.70,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
15,state,Mizoram,2006-03-01,83.00,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
16,state,Tripura,2006-03-01,53.10,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
17,state,Meghalaya,2006-03-01,53.20,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
18,state,Assam,2006-03-01,44.60,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
19,state,West Bengal,2006-03-01,42.20,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
20,state,Jharkhand,2006-03-01,50.40,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
21,state,Odisha,2006-03-01,61.20,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
22,state,Chhattisgarh,2006-03-01,33.00,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
