state_code,level_name,statename,date,value,variable,graph_title
23,state,Madhya Pradesh,2016-03-01,43.00,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
24,state,Gujarat,2016-03-01,27.40,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
25,state,Daman & Diu,2016-03-01,37.50,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
26,state,Dadra & Nagar Haveli,2016-03-01,17.80,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
27,state,Maharashtra,2016-03-01,37.00,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
28,state,Andhra Pradesh,2016-03-01,72.50,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
29,state,Karnataka,2016-03-01,57.50,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
30,state,Goa,2016-03-01,12.50,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
31,state,Lakshadweep,2016-03-01,43.80,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
32,state,Kerala,2016-03-01,58.10,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
33,state,Tamil Nadu,2016-03-01,62.90,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
34,state,Puducherry,2016-03-01,57.40,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
35,state,Andaman & Nicobar Islands,2016-03-01,37.90,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
1,state,Jammu & Kashmir,2016-03-01,41.90,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
2,state,Himachal Pradesh,2016-03-01,18.10,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
3,state,Punjab,2016-03-01,34.70,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
4,state,Chandigarh,2016-03-01,27.40,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
5,state,Uttarakhand,2016-03-01,30.20,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
6,state,Haryana,2016-03-01,36.70,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
7,state,NCT of Delhi,2016-03-01,27.60,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
8,state,Rajasthan,2016-03-01,30.40,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
